Unnamed: 0.1,Unnamed: 0,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,imdb_rating,where_to_watch
1474,2061,522,Ed Wood,7.506,2112,Released,1994-09-27,5887457,127,False,/3jrwJiMCe7VZP0DNcywHYOKg0Zu.jpg,18000000,,tt0109707,en,Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",23.639,/n8SrO3WbyuY2b6KazogqbQF348C.jpg,"When it came to making bad movies, Ed Wood was the best.","Comedy, Drama, History",Touchstone Pictures,United States of America,English,"individual, taxi, fortune teller, transsexuality, transvestite, movie business, drug addiction, boxer, oddball, celebrity, morphine, los angeles, california, black and white, suburb, theremin, handgun, trick or treating, 1950s",7.8,['Amazon Prime Video']
1475,2062,369557,Sing Street,7.88,2111,Released,2016-03-11,13624522,106,False,/ww6f0XEn8aUbNsK1OQGdutJWwQf.jpg,4000000,,tt3544112,en,Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,15.249,/sUWpVlrvzU2SJbnVZqIeKulPKwk.jpg,Boy meets girl. Girl unimpressed. Boy starts band.,"Comedy, Romance, Drama, Music","Cosmo Film, Filmwave Pictures, Distressed Films, FilmNation Entertainment, Likely Story, PalmStar Media","United States of America, United Kingdom, Ireland",English,"friendship, london, england, sibling relationship, dublin, ireland, music video, prom, school, singing, ireland, divorce, family, teenage boy, bullied, 1980s",7.9,['Amazon Prime Video']
1478,2065,783,Gandhi,7.543,2110,Released,1982-11-30,77737889,191,False,/gum3tuO1zKHBdElSQPS08PJ1w67.jpg,22000000,,tt0083987,en,Gandhi,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.",15.878,/rOXftt7SluxskrFrvU7qFJa5zeN.jpg,His triumph changed the world forever.,"Drama, History","Goldcrest, Indo-British, International Film Investors, National Film Development Corporation of India, Columbia Pictures","India, United Kingdom","English, Hindi","muslim, strike, prayer, freedom, independence, release from prison, demonstration, world war ii, imprisonment, colony, hunger strike, hindu, british army, political negotiations, conference, nonviolent resistance, apartheid, british empire, protest, independence movement, biography, idealism, based on true story, idealist, fighting the system",8.0,['Amazon Prime Video']
1481,2070,10950,I Am Sam,7.564,2105,Released,2001-12-28,92542418,132,False,/mOsg2l9zq315ouw55rbNATSwgU1.jpg,22000000,,tt0277027,en,I Am Sam,"Sam, a neurodivergent man, has a daughter with a homeless woman who abandons them when they leave the hospital, leaving Sam to raise Lucy on his own. But as Lucy grows up, Sam's limitations as a parent start to become a problem and the authorities take her away. Sam convinces high-priced lawyer Rita to take his case pro bono and in turn teaches her the value of love and family.",17.367,/wSgAn3zhgwuTOhhvvqcdxVqTLts.jpg,Love is all you need.,Drama,New Line Cinema,United States of America,English,"mentally disabled, foster parents, lawyer, pro bono, social services, coffee shop manager, pizza hut, children's book, locked door, child custody, woman director, father daughter relationship, neurodiversity",7.6,['Amazon Prime Video']
1484,2077,346648,Paddington 2,7.455,2092,Released,2017-11-09,227300000,104,False,/zbdBYpte1Crlfjs8jPVzplOQBpN.jpg,40000000,https://www.paddington.com/,tt4468740,en,Paddington 2,"Paddington, now happily settled with the Browns, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy, but it is stolen.",18.826,/1OJ9vkD5xPt3skC6KguyXAgagRZ.jpg,It takes a bear to catch a thief,"Adventure, Comedy, Family","Heyday Films, StudioCanal, Anton Capital Entertainment, Canal+, Ciné+, Marmalade Films Ltd., Warner Bros. Pictures","France, United Kingdom, United States of America",English,"london, england, based on novel or book, sequel, bear, train, based on children's book, animal, aging actor, live action and animation",7.8,['Amazon Prime Video']
1486,2080,110420,Wolf Children,8.234,2088,Released,2012-07-21,55060661,117,False,/eNWjMbuhGxJdzaIY9ZZ2KvWx2sQ.jpg,0,http://www.ookamikodomo.jp,tt2140203,ja,おおかみこどもの雨と雪,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",32.542,/nqqovhsvsWbsb7LcGaIGDRZrwgB.jpg,Love wildly.,"Animation, Family, Drama, Fantasy, Adventure","Studio Chizu, Madhouse, Nippon Television Network Corporation, Kadokawa Shoten, VAP, D.N. Dream Partners, Yomiuri Telecasting Corporation, TOHO",Japan,Japanese,"wolf, forest, death of father, growing up, rural area, werewolf, single mother, adult animation, werewolf child, farming community, farming, anime, mother son relationship, mother daughter relationship, brother sister relationship",8.1,['Amazon Prime Video']
1489,2085,273895,Selma,7.402,2084,Released,2014-12-25,66787908,127,False,/kVGUdR1CXKAyCFj5Tt4uyR2bpFx.jpg,20000000,https://www.paramount.com/movies/selma,tt1020072,en,Selma,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Voting Rights Act.",10.925,/wq4lhMc4BuOyQqe1ZGzhxLyy3Uk.jpg,One dream can change the world.,"History, Drama","Plan B Entertainment, Harpo Films, Celador Films, Pathé, Cloud Eight Films","United Kingdom, United States of America",English,"alabama, civil rights, martin luther king, president, protest march, woman director, selma, 1960s, african american history",7.5,"['Amazon Prime Video', 'Disney+ hotstar']"
1491,2088,10376,The Legend of 1900,8.265,2082,Released,1998-10-28,21057208,170,False,/6rmb35g7XoMCMQtnbH0rUecFZlV.jpg,9000000,,tt0120731,it,La leggenda del pianista sull'oceano,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",18.018,/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg,An epic story of a man who could do anything... except be ordinary,"Drama, Music, Romance","Medusa Film, Sciarlò",Italy,"English, French, Italian","ship, ocean, musical, pianistin, child prodigy, fondling",8.0,['Amazon Prime Video']
1493,2090,674324,The Banshees of Inisherin,7.474,2080,Released,2022-10-20,49262687,114,False,/1vXD5HXqkhvsXFHE7KmCPZGPR1e.jpg,20000000,https://searchlightpictures.com/films/the-banshees-of-inisherin,tt11813216,en,The Banshees of Inisherin,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",26.625,/4yFG6cSPaCaPhyJ1vtGOtMD1lgh.jpg,Everything was fine yesterday.,"Drama, Comedy, History","Searchlight Pictures, Blueprint Pictures, Film4 Productions, Metropolitan Films International, TSG Entertainment","Ireland, United Kingdom, United States of America",English,"friendship, island, donkey, dark comedy, irish civil war (1922-23), church, ireland, drinking, former best friend, self mutilation, fiddle, 1920s, brother sister relationship, pub",7.7,['Amazon Prime Video']
1497,2096,614917,King Richard,7.717,2075,Released,2021-11-18,39429285,145,False,/4kb7uR1UmXa33U6GB6F9xckFlhn.jpg,50000000,https://www.kingrichardfilm.net,tt9620288,en,King Richard,"The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",28.039,/vjpMd1dsEsVBoUhq6iVHXwwFj9n.jpg,"Venus, Serena and a plan for greatness.","Drama, History","Star Thrower Entertainment, Westbrook Studios, Warner Bros. Pictures, Overbrook Entertainment",United States of America,English,"tennis, tennis player, father, based on true story, wimbledon, family, tennis pro, father daughter relationship, coaching, champions, sport",7.5,['Amazon Prime Video']
